capable              할 수 있는, 유능한
heir                 상속인
battle               전투. ..와 싸우다.
army                 군대. 육군.
action               행동.
shy                  수줍은.
ugly                 추한.
effort               노력. 수고.
horizon              지평선, 수평선.
hell                 지옥.
skill                기술. 숙련.
develop              개발하다. 발달하다.
select               고르다.
tend                 ..하는 경향이 있다.
spend                소비하다. (노력.시간 등을) 들이다.
envy                 시기. 질투. 질투하다.
event                사건.
carry                나르다. 몸에 지니다.
flesh                육체. 살.
circle               원. 순환. 돌다. 선회하다.
kindness             친절. 친절한 태도.
grow                 자라다.
promise              약속. 약속하다.
example              예. 보기.
neighbor             이웃(사람)
end                  목적. 결말. 끝.
fortunate            행운의, 운이 좋은.
fame                 명성.
view                 견해, 전망.
method               방법.
treat                다루다. 치료하다. 한턱. 큰 기쁨.
memory               기억.
net                  그물. 순수한.
actual               실제의, 현재의.
exact                정확한.
mainly               주로.
wool                 양모.
gather               모으다. 증가시키다.
fatigue              피로. 지치게 하다.
indeed               실로. 참으로.
source               근원. 근본.
almost               거의. 대체로.
huge                 거대한. 막대한.
seek                 탐구하다. 구하다.
item                 항목. 품목. (신문의) 기사.
nail                 못. 손발톱. 못을 박다.
straight             직선. 똑바로. 곧은.
statue               상. 형상.
unfortunate          불운한.
choose               선택하다.
literature           문학. 문예.
way                  길. 방법.
primitive            원시적인.
cancel               취소하다.
ray                  광선.
economy              경제. 절약.
acute                날카로운. 급성의.
scientific           과학적인.
enemy                적.
grade                등급. 학년. 성적.
fact                 사실.
unit                 단위.
council              회의.
tender               상냥한. 부드러운.
catch                잡다.
knowledge            자식.
lead                 납. 이끌다. 인도하다.
voyage               항해.
bare                 발가벗은. 사실 그대로의.
sword                칼. 무력.
plain                평야. 명백한.
steel                강철.
temple               절. 사원.
pattern              모범. 형. 양식.
disappoint           실망시키다.
heal                 고치다.
altogether           아주. 전혀.
post                 기둥. 우편. 지위.
native               토착의. 출생(지)의.
theme                주제.
within               내부, ..의 안으로, ..의 범위 내.
lesson               수업. 교훈.
sell                 팔다.
sin                  (도덕.종교상의) 죄
root                 뿌리. 원인.
theory               이론.
stare                응시하다.
union                결합. (노동) 조합.
slight               약간의, 하찮은. 얕보다. 경시하다.
zone                 지역.
nowadays             요즈음.
hole                 구멍. (짐승의) 굴
tail                 꼬리.
especially           특히.
element              요소. 성분.
holy                 신성한.
heaven               천국.
strike               파업. 타격. 치다. 생각이 떠오르다.
berry                딸리류.
castle               성.
agriculture          농업.
dumb                 벙어리의.
spirit               정신. 기분.
deer                 사슴.
plane                비행기. 평면도.
sorrow               슬픔. 비통. 유감.
certain              틀림없는.
fowl                 가금류.
nourish              영양분을 주다. 기르다.
modest               겸손한. 정숙한.
fascinate            홀리다. 매혹시키다.
phase                국면. 단계.
companion            친구. 동료.
brief                간결한.
monotony             단조로움. 무미 건조.
explore              탐험하다.
jealousy             질투. 시샘.
offspring            자식, 자손.
privilege            특권. 특전.
perish               죽다. 멸망하다.
rugged               튼튼한. 울통불퉁한.
scenery              풍경. 배경.
trait                특색.
gravity              근엄. 중력.
ultimate             최후의. 궁국의.
messenger            사자. 메신져. 심부름꾼.
combat               전투. 싸움. ..와 싸우다.
dense                진한. 밀집한.
antique              골동품. 골동품의. 고대의.
mature               성숙한.
endeavor             노력. 노력하다. 시도. 시도하다.
inborn               타고난. 선천적인.
brilliant            빛나는. 훌륭한.
casual               우연한.
goodness             선량. 우수.
oversleep            늦잠자다.
reproduce            재생하다. 번식하다.
component            성분. 구성요소. 구성하고 있는.
roar                 으르렁거리다. 포효하다.
refined              세련된. 정제한.
postscript           추신.
ignorance            무지.
overestimate         고대평가하다.
analogy              유사.
exception            예외.
allure               유혹하다.
complex              복잡한.
potential            가능성. 가능핟. 잠재력. 잠재적인.
stable               마구간. 안정된. 견실한.
mortality            사망률. 죽을 수밖에 없는 운명.
anxiety              걱정. 근심.
vex                  성가시게 하다. 짜증나게 하다.
usage                사용(법)
germ                 세균. 병균.
waterproof           방수의.
standpoint           입장. 관점.
survival             생존. 긴급용의.
immoral              부도덕한.
critic               비평가.
relax                늦추다. 편히 하다.
profound             깊은.
gigantic             거대한. 거인 같은.
conceive             품다. 착상하다.
unity                통일(성)
certificate          증명서. 증명하다.
savage               야만인. 미개인. 야만의. 미개한.
transmit             전하다. 보내다.
menace               공갈. 협박. 위협. 위협하다.
ardent               열렬한.
former               이전의. 전자.
plural               복수의. 복수.
rigidity             견고함. 엄격.
transform            바꾸다. 변형시키다.
broadcast            방송. 방영. 방송(방영) 하다.
constant             일정한. 불변의.
pomp                 장관. 화려.
maintenance          유지. 지속. 간수.
prosper              번영하다. 성공시키다.
preservation         보존. 보호.
miniature            모형. 축도. 작은. 소형의.
vital                생명의. 치명적인. 불가결한.
explosion            폭발
revive               부활하다. 회복시키다.
stern                엄한. 단단한. 선미. 뒷부분.
magnificent          장대한. 장엄한. 멋진.
illumination         조명.
complicate           복잡하게 하다.
condense             농축하다.
heroism              영웅적 자질 및 행위.
illusion             환상. 환영.
benefactor           은인. 후원자.
gloomy               어두운. 우울한.
majesty              위엄. 장엄. 폐하.
shiver               (추위.공포.흥분 등으로) 떨다.
denial               부정. 거부.
crawl                기다.
outstanding          현저한.
intermit             중단시키다. 일시 멈추다.
genius               천재.
entirely             완전히. 아주.
inclination          기울기. 경향. 성향.
hinder               방해하다. 훼방놓다.
steadfast            확고한. 불변의.
grieve               몹시 슬퍼하다.
detect               발견하다. 찾아내다.
convention           전통적인 인습. 회의.
testament            유언.
superficial          표면의. 피상적인.
intermediate         중간의. 중간물. 중개자.
spur                 박차. 자극. 자극하다.
venture              모험. 투기. 과감히 ..하다.
capture              체포. 붙잡다. 생포하다.
disgrace             창피. 불명예.
punishment           처벌. 형벌.
divorce              이혼. 이혼하다.
overcome             극복하다. 이겨내다.
priceless            귀중한.
slang                속어.
fable                우화. 꾸며낸 이야기.
vanity               무상함. 허영(심). 자만.
medial               중간의. 평균치의.
emphasis             강조.
drowsy               졸리는.
expert               전문가.
genuine              진짜의.
predict              예언하다.
disturb              방해하다.
renew                새롭게 하다.
regain               되찾다. 회복하다.
legend               전설. 설화.
generalization       일반화.
peasant              농부. 소작농.
dismay               낙담. 낙담시키다.
gulf                 만.
spokesman            대변인.
scorn                경멸하다. 모욕하다.
torture              고문. 고문하다. 괴롭히다.
layman               속인. 비전문가.
unify                통일하다. 통합하다.
nightmare            악몽.
boundary             경계(선)
exploration          탐험. 탐구.
soothe               진정시키다.
reinforce            보강하다. 강화하다.
exterior             외부의.
everlasting          영원한. 끝없는.
stingy               인색한. 부족한.
demonstrate          증명하다. 증거하다. 설명하다.
prophecy             예언.
confront             ..에 직면하다.
forecast             예보. 예측하다.
grace                우아.
vulgar               상스러운. 천한.
pierce               꿰뚫다. 관통하다.
destruction          파괴. 파멸.
pastime              기분전환. 오락.
collaborate          협력하다. 공동으로 일하다.
prejudice            편견.
mineral              광물.
charity              자애. 자비.
compassion           동정.
struggle             노력. 투쟁. 투쟁하다. 노력하다.
tease                괴롭히다.
dissolve             녹이다. 해산시키다.
interpret            해석하다. 통역하다.
aggressive           공격적인. 진취적인.
cultivate            경작하다. 양성하다.
arise                일어나다. 나타나다.
summit               정상. 수뇌회담.
accomplish           완성하다.
grain                낟알. 곡물.
react                반응하다. 반작용하다.
betray               배반하다.
sharpen              날카롭게 하다. 같다.
rejection            거절.
relate               관계짓다. 결부시키다.
construct            건설하다.
adorn                장식하다.
miraculous           기적적인. 놀랄만한.
cite                 인용하다. 예증하다.
define               정의하다. 규정짓다.
stately              당당한. 웅대한.
fetch                가져오다. 데려오다.
shrink               줄어들다.
myriad               무수한. 무수.
expedition           탐험, 탐험대.
strain               긴장. 피로. 잡아당기다.
occasional           가끔의
vision               시력. 통팔력.
easygoing            태평한. 게으른.
blink                깜박임. 섬광. 감박이다. 명멸하다.
tension              긴장.
false                거짓의.
clutch               잡다. 껴안다.
capacity             능력. 수용 능력.
generosity           관대. 아량.
ample                광대한. 충분한.
courteous            예의바른.
induce               권유하다. 야기하다.
textile              직물의. 직물.
accidental           우연한. 우발적인.
penetrate            관통하다.
cordial              진심에서 우러나오는.
trustworthy          확실한. 신뢰할 수 있는.
passage              (문장의) 절. 통행. 통과.
impulse              충동. 추진(력)
bias                 편견. 선입관.
recite               낭송하다. 암송하다.
timber               목재.
glacier              빙하.
overlook             바라보다. 눈감아 주다.
reverse              반대의. 역. 반대. 뒤집다.
traitor              배반자. 반역자.
ceremonial           의식의. 정식의.
pessimistic          비관적인.
reliable             의지가 되는. 신뢰할 수 있는.
alarm                놀람. 경보. 깜짝 놀라게 하다.
symmetry             대칭. 균형.
fatal                운명의. 치명적인.
prehistoric          선사시대의. 유사이전의.
digest               요약. 소화하다. 요약하다.
reaction             반응. 반작용.
myth                 신화. 전설.
epidemic             전염병. 전염병의. 유행하고 있는.
symptom              징후.
scrutiny             정밀 검사. 음이.
pulse                맥박. 맥박이 뛰다.
particle             입자.
bullet               탄환.
diversity            다양성. 변환.
rotten               부패한. 썩은.
launch               시작하다. 발사하다.
evolve               전개하다. 발전하다.
machinery            기계류.
starve               굶주리다.
evolution            진화. 발전.
hydrogen             수소.
modesty              겸손.
resist               저항하다.
exertion             노력.
tremble              떨다.
imprison             감금하다. 투옥하다.
naughty              행실이 나쁜. 장난꾸러기인.
complement           보어. 보충(물)
melancholy           우울한. 우울. 울적한.
detective            탐정. 형사. 탐정의.
signature            서명.
deserve              ..할 만하다.
confusion            혼란. 혼동.
gallant              용감한. 씩씩한.
refresh              원기를 주다.
vigorous             힘찬. 원기 왕성한.
fulfill              수행하다. 완수하다.
describe             묘사하다. 기술하다.
carve                조각하다.
fulfillment          수행. 이행.
comprehensive        범위가 넓은. 포용력이 큰.
exalt                (직위.명예 등을) 높이다.
lure                 유혹하다. 매력.
outlook              전망. 조망.
review               재조사. 복습. 재검토하다.
censor               검열하다. 검열관.
wither               시들다.
distort              비틀다. 왜곡하다.
thrive               번영하다.
perilous             위험한.
vigor                원기. 활력.
obstacle             장애(물)
frustration          좌절. 욕구불만.
desirable            바람직한. 호감이 가는
marvelous            놀라운. 믿기 어려운.
divine               신성한. 예언하다.
afterward            나중에. 이후에.
caricature           풍자만화.
debate               논쟁. 토론. 논쟁하다.
overwhelm            압도하다.
encircle             둘러싸다.
cherish              소중히 하다. 품다.
confer               의논하다.
tiresome             지루한. 싫증나는.
deposit              예치하다. 예금.
ascend               오르다.
sequence             연속. 결과.
infinite             무한한. 무한.
surmount             (산에) 오르다. 이겨내다.
potent               유력한. 효능있는
serene               잔잔한. 교요한.
eminent              저명한.
overflow             (물이) 넘쳐 흐르다.
rebuke               비난하다. 꾸짖다.
recline              기대다. 의지하다.
abrupt               돌연한. 통명스러운.
cartoon              만화(영화)
revolutionary        혁명적인.
dreary               황량한. 지루한.
navigation           항해. 운항.
fury                 격노.
acid                 신성의. 신.
furious              격노한. 광포한.
evaluation           평가.
omit                 생략하다.
invisible            보이지 않는.
rational             이성적인. 합리적인.
stability            안정.
striking             두드러진. 인상적인.
eccentric            보통과 다른. 괴상한.
foul                 더러운. 반칙의.
disciple             제자. 사도.
conceal              숨기다. 비밀로 하다.
persuasion           설득.
sneer                비웃다. 냉소.
pursuit              추적. 추구.
execute              실행하다. 집행하다.
damn                 비난하다. 저주하다.
compromise           타협. 타협하다. 화해. 양보하다.
greedy               탐욕스러운.
embarrass            당황하게 하다.
lament               비탄. 애도. 슬퍼하다. 비탄하다.
draft                밑그림. 초고.
tedious              지루한. 따분한.
accumulate           (재산을) 축적하다.
bribe                뇌물. 매수하다.
famine               기근.
flour                소맥분. 밀가루.
vicious              악의의. 나쁜.
nuisance             폐. 불쾌.
desolate             황량한. 황폐한.
progressive          진보적인.
trend                경향.
well-being           복지. 행복.
tame                 순한. 길든. 길들이다.
zeal                 열심. 열중.
analyze              분석하다.
barren               불모의. 메마른.
investigate          조사하다.
extinguish           (불을) 끄다. 소멸시키다.
subjective           주관적인.
sly                  교활한. 간교한.
monarch              군주.
calamity             재난.
investigation        조사. 연구.
invade               ..에 침입하다.
translate            ..을 번역하다.
inspire              (감정.사상 등을) 불어넣다. 주입시키다.
cruel                무자비한.
credible             믿을 수 있는.
vacant               공허한. 빈.
various              다양한. 변화가 많은.
instruct             가르치다. 지시하다.
surface              표면. 외관.
nerve                신경. 신경과민.
fierce               격렬한.
rescue               구조. 구조하다. 구출.
vast                 광대한. 막대한.
credit               신용.
landscape            풍경. 조망.
medieval             중세의. 낡은.
honesty              정직. 성실.
misery               비참함. 불행.
imitate              모방하다.
opposite             반대. 반대의.
envelope             봉투.
telescope            망원경.
philosopher          철학자.
creature             생물. 피조물.
tribe                부족. 종족.
fellow               동료. 친구.
mode                 양식. 방법.
bury                 묻다. 매장하다.
absurd               불합리한. 터무니없는.
formal               형식의. 형식적인.
sob                  흐느겨 울다. 흐느낌.
behave               행동하다. 처신하다.
empire               제국. 통치(권)
millionaire          백만장자.
regular              규칙적인. 정규의.
victory              승리.
include              포함하다.
faith                신념.
mental               미음의. 정신의.
interrupt            가로막다. 방해하다.
originality          독창성.
friendly             친절한. 친한.
calm                 냉정한. 고용한.
miracle              기적.
repeat               반복하다.
shade                그늘, 땅거미.
customer             고객.
reply                대답. 대답하다.
universal            전세계의. 일반적인.
cheerful             즐거운. 쾌활한.
reserve              비축. 예비물. 비촉하다. 예약하다.
gentle               점잖은. 온화한. 부드러운.
pure                 순수한. 깨끗한.
seed                 종자. 씨를 뿌리다.
bless                축복하다.
grief                슬픔.
ladder               사다리.
pleasant             즐거운. 기쁜.
ideal                이상. 관념.
vivid                생생한. 활발한.
kingdom              왕국. 영역.
empty                빈.
stupid               어리석은.
invent               발명하다.
tongue               혀. 언어.
eternal              영원한.
marriage             결혼.
position             입장. 위치.
vegetable            채소. 식물.
owner                소유주.
incident             일어난 일. 사건.
heap                 퇴적. 쌓아올린 것.
bond                 묶는 것. 속박.
nervous              신경의. 신경질적인.
alive                살아 있는.
keen                 예리한. 격렬한.
obtain               얻다.
observe              관찰하다. 지키다.
emergency            돌발사태. 비상사태.
communicate          전달하다. 통신하다.
deed                 행동.
cave                 동굴. ..에 굴을 파다. 함몰하다.
district             지구. 지역.
critical             위기의. 비평의.
insolent             오만한. 무례한.
physician            내과의(사).
environment          환경.
soil                 흙. 토양.
fertile              비옥한.
humanism             인도주의. 인문주의.
anthropology         인류학.
geometry             기하학.
physics              물리학.
astronomy            천문학.
psychology           심리학.
geography            지리학.
philosophy           철학.
archaeology          고고학.
logic                논리. 논리학.
ethics               윤리학.
ecology              생태학.
biology              생물학.
botany               식물학.
geology              지질학.
chemistry            화학.
affection            애정.
piety                경건. 신앙심.
bravery              용감. 용기.
sacred               신성한.
quotation            인용. 시세. 견적서.
drain                배수(구). 배수하다. 배출하다.
intercourse          교제.
contempt             경멸. 모욕.
mislead              잘못 인도하다.
prospect             조망. 전망.
decent               적당한. 알맞은.
condemn              비난하다.
solitude             고독.
prolong              연장하다. 늘이다.
wretched             불쌍한. 가엾은.
strife               분쟁. 투쟁.
advocate             주장하다. 옹호하다.
remote               멀리. 멀어진.
dialect              방언.
notion               개념. 관념.
mammal               포유동물.
neglectful           태만한. 부주의한.
astray               길을 잃은.
conviction           확신. 신념.
picturesque          아름다운. 그림 같은.
correction           수정. 정정.
preface              머리말. 서운.
stir                 선동하다. 휘젓다.
shrewd               약삭빠른. 빈틈 없는.
negligence           태만. 부주의.
torment              고통. 고통을 주다.
passionate           열렬한. 정열적인.
analysis             분석.
mold                 형. 특성.
bewilder             당혹케 하다.
discourage           용기를 잃게 하다. 낙담시키다.
forsake              저버리다. 버리고 가다.
impair               악화시키다. 해치다.
fright               공포. 놀람.
controversy          논쟁.
lade                 (배.차 등에) 싣다.
initial              최초의. 머리글자.
inspiration          영감.
locomotive           기관차.
arouse               깨우다. 자극하다.
transient            일시적인.
sober                술에 취하지 않은. 맑은 정신의. 차분한.
dominion             지배(권)
clumsy               서투른. 솜씨없는.
conspicuous          특징적인. 눈에 띄는.
distress             고통. 걱정. 괴롭히다.
bough                큰 가지.
outlet               배출구, 대리점.
pregnant             임신한.
detest               미워하다. 몹시 싫어하다.
retire               퇴직하다.
curse                저주. 욕설. 저주하다.
comrade              동료.
chaos                혼돈. 무질서.
signify              뜻하다. 나타나다.
quote                인용하다.
enthusiasm           열심. 열광.
literate             읽고 쓸 수 있는.
supplement           부록. 추가물. 보충물. 보충하다. 추가하다.
assent               동의. 동의하다.
bundle               다발. 묶음. 무리.
skeptical            회의적인.
farewell             송별의. 결별의.
exaggerate           과장하다.
peer                 동료. 자세히 보다.
hypocrisy            위선. 위선행위.
cynical              냉소적인.
catastrophe          큰 재해. 대참사.
astound              깜짝 놀라게 하다.
monotonous           단조로운.
somewhat             어느 정도. 얼마간.
arrogant             기만한.
treachery            배반. 배신. 반역.
alert                경계, 경보. 방심하지 않는.
applause             박수 갈채.
aloof                멀어져. 멀리서.
doom                 운명. 운명짓다. ..의 운명을 정하다.
intense              강렬한.
intrude              밀어 넣다. 강요하다. 끼어들다.
scul[ture            조각.
justify              정당화하다.
mercy                자비. 연민.
allowance            수당. ..비. 한도.
epoch                시대. 신기원.
chat                 잡담. 잡담하다. 담소하다.
instrument           도구. 악기.
spectacle            광경. 안경.
bondage              속박. 노예의 신분.
awkward              서투른. 솜씨없는. 거북한.
dismal               음산한. 침울한.
idle                 게으른, 한가한.
feast                축제.
vein                 혈관. 기질. 기분.
comment              설명하다. 논평하다. 설명. 논평.
equipment            설비. 장비.
disgust              싫어지게 하다. 메스껍게 하다.
sermon               설교.
substance            본질. 물질.
expose               드러내다. 노출시키다.
patience             인내(력)
assemble             모으다. 집합시키다.
collapse             붕괴.
dread                두려워하다. 무서워하다. 공포. 불한.
plea                 탄원. 변명.
perpetual            영원한. 끊임없는.
utility              유익. 효용.
intoxicate           취하게 하다. 도취시키다.
lunatic              정신 이상의. 미치광이. 정신 이상자.
fragile              부서지기 쉬운.
wicked               사악한.
sterile              불모의.
oath                 맹세. 선언. 서약.
forlorn              버림받은. 쓸쓸한.
specific             특정한.
prudent              사려 깊은. 분별 있는.
sheer                완전한. 순전한.
tolerance            인내.
filthy               더러운. 불길한.
hostile              적대적인.
shelter              은신처.
ordinary             보통의.
puzzle               당황하게 하다.
haughty              오만한.
patient              인내심이 강한. 환자.
reckless             무모한. 분별 없는.
temporary            일시적인.
alternative          양자택일의. 대안.
internal             내부의. 내면적인.
flourish             반영하다.
incredible           믿을 수 없는.
descent              하강. 저하.
sane                 제정신의. 분별 있는.
substantial          실질적인. 상당한.
intuition            직관.
profile              옆모습. 윤곽. 인물 소개.
emphasize            강조하다.
whimsical            변덕스러운. 별난.
pang                 비통. 마음의 고통.
sinister             불길한. 사악한.
apparatus            장치. 기구.
upright              똑바른. 곧은.
outcome              결과.
dismiss              해고하다. 해산시키다.
agitate              선동하다. 부추기다.
remedy               치료법. 치료약.
sway                 흔들리다. 동요하다.
trail                흔적. 발자국. 추적하다.
litter               어지르다. 흩뜨리다.
riot                 폭동. 소동. 폭동을 일으키다.
tact                 약삭빠름. 기지. 요령.
solitary             고독한. 쓸쓸한.
response             반응. 응답.
dialogue             대화. 토론.
resign               시작하다.
insert               삽입하다. 끼우다. 삽입물.
aspire               열망하다.
solution             해결. 용해.
precious             귀중한.
immediate            직접의. 즉시의.
excursion            소풍. 짧은 여행.
steer                조종하다. ..의 키를 잡다.
fluent               유창한.
pursue               추적하다. 추구하다.
ascertain            확인하다. 조사하다.
competent            유능한.
stubborn             완고한. 고집센.
vanish               사라지다. 소실되다.
speculate            사색하다. 숙고하다.
mourning             슬픔. 한탄. 애도.
ascent               상승.
malice               악의.
imply                의미하다. 함축하다.
restrict             제한하다.
trap                 올가미. 덫. ..을 덫으로 잡다.
resemblance          유사. 닮음.
portrait             초상(화)
adequate             충분한. 적당한.
praiseworthy         칭찬할 만한.
motive               동기.
temptation           유혹. 마음을 끄는 것.
evaluate             평가하다.
attract              매혹하다. 끌어들이다.
brute                짐승. 잔인한 사람.
attractive           매력적인.
chart                도표. 차트.
prophet              예언자.
reward               보상. 보수. 보상하다.
column               기동. 칼럼.
movement             운동.
swell                부풀다. 팽창하다. 팽창.
praise               칭찬. 칭찬하다.
confine              제한하다. 감금하다. 경계선. 한계.
target               목표. 표적.
cowardly             겁 많은. 비겁한.
route                길.
pioneer              개철자. 선구자.
faculty              능력.
brave                용감한.
species              (생물의) 종.
seize                잡다.
flavor               향미. 향기를 곁들이다.
craft                기술.
porter               운반인. 짐꾼.
competence           능력. 적성.
vary                 변화하다.
bold                 대담한.
anticipate           기대하다. 예상하다.
celebrate            축하하다. 기념하다.
courtesy             예의바름. 호의.
hare                 산토끼.
lavatory             화장실.
sail                 돛. 항해하다.
severe               엄격한.
concept              개념.
thorough             철저한. 완전한.
intimate             친밀한.
strive               노력하다.
royal                왕의. 당당한.
similarity           유사.
anecdote             일화.
vague                막연한. 애매한.
category             부문. 종류. 범주.
funeral              장례(식)
enthusiastic         열광적인. 열심인.
barrier              장애(물). 장벽.
indicate             가리키다. 징후를 보이다.
polish               연마하다. 닦다.
upset                뒤집어 엎다. 당황케 하다. 전복. 혼란.
mankind              인류. 남성.
suite                한벌. 스위트 룸.
sigh                 한숨. 탄식. 한숨을 쉬다. 탄식하다.
existence            존재. 생활.
phenomenon           현상.
descend              내리다. 하강하다.
principal            주요한. 교장.
recognize            인정하다.
tiny                 작은. 조그만.
reference            문의. 참조.
flame                화염. 불길. 타오르다. 불꽃을 내다.
reap                 배다. 수확하다. 받다.
dust                 먼지.
project              계획. 계획하다. 투영하다.
destroy              파괴하다.
wholly               전혀. 완전히.
conflict             투쟁. 충돌. 충돌하다. 모순되다.
aspect               국면. 양상. 모습.
worship              숭배. 예배. 숭배하다.
decade               10년간.
awe                  두려움. 외경심.
suspect              의심하다. 용의자.
stuff                재료. 물질. 채우다.
annoy                괴롭히다. 성가시게 굴다.
urgent               긴급한.
splendid             화려한. 훌륭한.
greed                탐욕. 욕심.
mere                 단순한. 전적인.
invalid              병약. 병약한. 근거없는. 무가치한. 무효한.
slavery              노예제도. 노예의 신분.
associate            교제하다. 관련시키다.
unique               유일한. 독특한.
slender              호리호리한. 가느다란.
rigid                단단한. 엄한.
spoil                망치다. 못쓰게 만들다.
section              구분. 구분하다.
primary              첫째의. 주요한.
trace                자취. 자국. 추적하다. 거슬러 올라가다.
arithmetic           산수. 계산. 산수의.
remain               남다. 잔존하다.
twilight             땅거미. 어스름.
numerous             다수의.
mingle               섞다. 혼합하다.
winner               승자.
ornament             장식. 장식품. 장식하다.
material             물질의. 육체적인.
obscure              모호한.
institution          설립.
reasonable           이상적인.
peril                위험.
perfect              완전한.
oblige               ..에게 의무를 지우다.
link                 고리. 연결.
moderate             적당한.
convenience          편의. 편리.
visible              눈에 보이는. 명백한.
orthodox             정통의. 정통파의.
terminal             종점의. 종점.
threat               위협.
assert               (권리를) 주장하다.
dawn                 여명.
visual               시각의. 눈에 보이는.
elect                선추하다.
tremendous           무서운. 거대한.
neglect              무시하다. 무시. 태만. 게을리하다.
imperial             제국의. 황제의.
limit                제한하다. 한도.
troublesome          골치 아픈. 귀찮은.
lonely               고독한.
suspicion            혐의. 의심.
caution              주의. 경계.
mourn                슬퍼하다. 한탄하다.
frame                뼈대. 골조.
forward              전방의. 앞으로. 전방으로.
alien                와국의. 이질의. 외국인. 우주인.
pious                경건한. 신앙심이 깊은.
dye                  염색하다. 염색.
hasten               서두르다. 재촉하다.
grave                무덤. 근엄한. 심각한.
pier                 부두. 선창.
heritage             유산.
folly                어리석음. 어리석은 행동.
concrete             구체적인. 콘크리트. 구체물.
hazard               위험.
status               지위. 상태.
abnormal             비정상적인.
relief               경감. 안심. 구원.
ridiculous           옷기는. 어리석은.
invitation           초대.
function             기능. 역할.
erect                세우다. 곧은. 똑바로 선.
argument             논의.
superstition         미신.
notice               주의. 통치. 알아채다. 인지한다.
situation            위치. 정세.
attempt              시도하다. 시도. 기도.
hatred               증오. 원한.
marvel               경이. 감탄하다. 놀라다.
passion              열정.
generation           세대. 자손.
circuit              순회. 우회. 회로.
insect               곤충.
orbit                (천체의) 궤도.
cancer               암.
structure            구조.
billion              십억.
perfume              향수. 향수를 뿌리다. 풍기다.
pray                 기도하다.
manifest             명백한. 명백히 하다.
irritate             짜증나게 하다.
atmosphere           대기. 분위기.
manuscript           원고. 사본.
drift                표류. 표류하다. 떠내려가다.
secure               안전한. 안전하게 하다. 확보하다.
glory                영광.
chemical             화학의. 화학약품.
coward               겁쟁이.
surgeon              외과의사.
vow                  서약. 맹세. 서약하다.
intention            의향. 의지.
calling              부름. 소집. 소명. 천직.
monologue            독백.
conserve             보존하다. 보호하다.
display              전시. 전시하다.
earnest              진지한. 열심인.
authority            권위(자)
concise              간결한.
immense              막대한. 거대한.
reputation           명성. 평판.
punish               벌하다.
conduct              인도하다. 지휘하다. 지도. 지휘.
convey               전하다. 나르다.
final                마지막의. 최후의.
layer                층.
pronounce            발음하다.
stiff                견고한. 딱딱한.
scheme               계획.
triumph              승리. 대성공.
marble               대리석.
particularly         특히.
flood                홍수. 범람하다. 쇄도하다.
ambition             대망. 야심.
misfortune           불운.
responsibility       책임.
bound                한계. 경계.
luxury               사치(품)
priest               성직자.
sincere              성실한. 진심의.
novel                소설. 신기한.
staple               주요한. 주성분. 주요산물.
petty                작은. 사소한.
cradle               요람.
revolution           혁명. 회전.
normal               정상의.
range                범위. 한계.
admire               칭찬하다.
glorious             영광스러운.
shift                바꾸다. 옮기다.
active               충동적인.
factor               요인.
explanation          설명.
steep                가파른. 험준한. 잠기다.
repair               수리. 수리하다. 비상하다.
disaster             재난. 재해.
conquer              정복하다.
shallow              얇은.
preparation          준비.
issue                유출(물). 논쟁. 발행. 나오다. 발행하다.
grasp                붙잡다. 이해하다.
fate                 운명. 죽음.
typical              전형적인.
contain              포함하다.
supreme              최고의.
scene                장면. 현장.
redical              근본적인. 급진적인. 급진주의자.
delicious            맛있는.
precise              정확한. 정밀한.
confuse              혼동하다. 혼란스럽게 하다.
difficulty           곤란.
emotion              감동. 감정.
rapid                급속한.
meadow               목초지.
attend               ..에 출석하다.
generous             관대한. 너그러운.
poverty              빈곤.
perform              실행하다.
horror               공포.
enormous             거대한. 막대한.
occasion             경우. 기회.
decoration           장식.
encourage            용기를 주다. 격려하다.
ruin                 파멸. 파멸시키다.
silly                어리석은.
riddle               수수께끼.
expand               확장하다. 넓히다.
vain                 헛된. 허영심이 강한.
opponent             적. 반대자.
survive              살아남다.
slave                노예.
sting                찌르다. 괴롭히다. 침. 찌르기.
undertake            떠밀다. 의무를 지다.
cast                 던지다. 배역.
timid                겁많은. 소심한.
conclude             결론짓다.
tropical             열대의.
promote              승진시키다. 촉진시키다.
confess              자백하다.
engagement           약속. 약혼.
tide                 조수. 조류. 조류를 타게 하다.
sweat                땀. 땀흘리다.
rumor                소문. 풍문. 소문을 내다.
summary              요약.
scratch              할퀴다.
evil                 사악한.
steady               확고한. 착실한.
ceiling              천장.
surround             애워싸다. 둘러싸다.
ambiguous            애매 모호한.
fundamental          기초의. 기본. 원칙.
irregular            불규칙한.
gratitude            감사.
flexible             유연한. 융통성 있는.
canal                운하.
depth                깊이.
backward             후방의. 후방으로.
marine               바다의.
efficiency           능률.
awful                무서운. 무시무시한.
profession           직업. 공언. 명언.
disappear            사라지다.
terror               공포.
barbarian            야만인. 미개인.
beast                짐승.
comprehend           이해하다.
burden               무거운. 부담. ..에게 짐을 지우다.
trivial              사소한. 하찮은.
statement            진술. 성명.
ripe                 익은.
therefore            그 결과. 그런 까닭에.
compulsory           의무적인. 강제적인.
subconscious         잠재 의식(의)
antiquity            태고, 고대.
inadequate           부적절한. 불충분한.
subtle               미묘한.
avert                (눈길을) 돌리다.
